date,menu_item,quantity
2025-03-14,Sangria Jug,125
2025-03-14,Seafood Paella,465
2025-03-14,Tortilla Espanola,15
2025-03-15,Cortado,73
2025-03-15,Estrella Damm (Caña),65
2025-03-15,Gambas al Ajillo,10
2025-03-15,Glass of Rioja,64
2025-03-15,Grilled Steak,1
2025-03-15,Menu del Dia,11
2025-03-15,Patatas Bravas,9
2025-03-15,Sangria Jug,54
2025-03-15,Seafood Paella,244
2025-03-15,Tortilla Espanola,6
2025-03-16,Chicken Roast,2
2025-03-16,Cortado,84
2025-03-16,Estrella Damm (Caña),89
2025-03-16,Gambas al Ajillo,20
2025-03-16,Glass of Rioja,106
2025-03-16,Grilled Steak,2
2025-03-16,Menu del Dia,20
2025-03-16,Patatas Bravas,17
2025-03-16,Sangria Jug,81
2025-03-16,Seafood Paella,311
2025-03-16,Tortilla Espanola,14
2025-03-17,Chicken Roast,3
2025-03-17,Cortado,111
2025-03-17,Estrella Damm (Caña),92
2025-03-17,Gambas al Ajillo,6
2025-03-17,Glass of Rioja,130
2025-03-17,Menu del Dia,30
2025-03-17,Patatas Bravas,20
2025-03-17,Sangria Jug,95
2025-03-17,Seafood Paella,442
2025-03-17,Tortilla Espanola,15
2025-03-18,Chicken Roast,4
2025-03-18,Cortado,102
2025-03-18,Estrella Damm (Caña),103
2025-03-18,Gambas al Ajillo,35
2025-03-18,Glass of Rioja,115
2025-03-18,Grilled Steak,2
2025-03-18,Menu del Dia,27
2025-03-18,Patatas Bravas,26
2025-03-18,Sangria Jug,120
2025-03-18,Seafood Paella,500
2025-03-18,Tortilla Espanola,19
2025-03-19,Chicken Roast,3
2025-03-19,Cortado,127
2025-03-19,Estrella Damm (Caña),133
2025-03-19,Gambas al Ajillo,17
2025-03-19,Glass of Rioja,121
2025-03-19,Grilled Steak,9
2025-03-19,Menu del Dia,23
2025-03-19,Patatas Bravas,24
2025-03-19,Sangria Jug,121
2025-03-19,Seafood Paella,440
2025-03-19,Tortilla Espanola,17
2025-03-20,Chicken Roast,5
2025-03-20,Cortado,72
2025-03-20,Estrella Damm (Caña),74
2025-03-20,Gambas al Ajillo,15
2025-03-20,Glass of Rioja,68
2025-03-20,Grilled Steak,3
2025-03-20,Menu del Dia,19
2025-03-20,Patatas Bravas,23
2025-03-20,Sangria Jug,83
2025-03-20,Seafood Paella,323
2025-03-20,Tortilla Espanola,9
2025-03-21,Chicken Roast,2
2025-03-21,Cortado,96
2025-03-21,Estrella Damm (Caña),68
2025-03-21,Gambas al Ajillo,12
2025-03-21,Glass of Rioja,77
2025-03-21,Grilled Steak,2
2025-03-21,Menu del Dia,19
2025-03-21,Patatas Bravas,20
2025-03-21,Sangria Jug,86
2025-03-21,Seafood Paella,347
2025-03-21,Tortilla Espanola,15
2025-03-22,Chicken Roast,3
2025-03-22,Cortado,95
2025-03-22,Estrella Damm (Caña),108
2025-03-22,Gambas al Ajillo,11
2025-03-22,Glass of Rioja,84
2025-03-22,Grilled Steak,1
2025-03-22,Menu del Dia,25
2025-03-22,Patatas Bravas,22
2025-03-22,Sangria Jug,107
2025-03-22,Seafood Paella,374
2025-03-22,Tortilla Espanola,29
2025-03-23,Chicken Roast,4
2025-03-23,Cortado,97
2025-03-23,Estrella Damm (Caña),114
2025-03-23,Gambas al Ajillo,17
2025-03-23,Glass of Rioja,124
2025-03-23,Grilled Steak,2
2025-03-23,Menu del Dia,25
2025-03-23,Patatas Bravas,18
2025-03-23,Sangria Jug,125
2025-03-23,Seafood Paella,452
2025-03-23,Tortilla Espanola,13
2025-03-24,Chicken Roast,1
2025-03-24,Cortado,93
2025-03-24,Estrella Damm (Caña),102
2025-03-24,Gambas al Ajillo,13
2025-03-24,Glass of Rioja,90
2025-03-24,Grilled Steak,2
2025-03-24,Menu del Dia,23
2025-03-24,Patatas Bravas,8
2025-03-24,Sangria Jug,89
2025-03-24,Seafood Paella,311
2025-03-24,Tortilla Espanola,15
2025-03-25,Chicken Roast,2
2025-03-25,Cortado,89
2025-03-25,Estrella Damm (Caña),117
2025-03-25,Gambas al Ajillo,12
2025-03-25,Glass of Rioja,121
2025-03-25,Grilled Steak,2
2025-03-25,Menu del Dia,25
2025-03-25,Patatas Bravas,15
2025-03-25,Sangria Jug,105
2025-03-25,Seafood Paella,427
2025-03-25,Tortilla Espanola,12
2025-03-26,Chicken Roast,4
2025-03-26,Cortado,93
2025-03-26,Estrella Damm (Caña),94
2025-03-26,Gambas al Ajillo,13
2025-03-26,Glass of Rioja,81
2025-03-26,Menu del Dia,23
2025-03-26,Patatas Bravas,12
2025-03-26,Sangria Jug,100
2025-03-26,Seafood Paella,422
2025-03-26,Tortilla Espanola,19
2025-03-27,Chicken Roast,3
2025-03-27,Cortado,100
2025-03-27,Estrella Damm (Caña),113
2025-03-27,Gambas al Ajillo,31
2025-03-27,Glass of Rioja,107
2025-03-27,Grilled Steak,1
2025-03-27,Menu del Dia,24
2025-03-27,Patatas Bravas,16
2025-03-27,Sangria Jug,111
2025-03-27,Seafood Paella,382
2025-03-27,Tortilla Espanola,13
2025-03-28,Chicken Roast,2
2025-03-28,Cortado,105
2025-03-28,Estrella Damm (Caña),88
2025-03-28,Gambas al Ajillo,28
2025-03-28,Glass of Rioja,110
2025-03-28,Grilled Steak,5
2025-03-28,Menu del Dia,23
2025-03-28,Patatas Bravas,24
2025-03-28,Sangria Jug,93
2025-03-28,Seafood Paella,389
2025-03-28,Tortilla Espanola,27
2025-03-29,Chicken Roast,1
2025-03-29,Cortado,88
2025-03-29,Estrella Damm (Caña),62
2025-03-29,Gambas al Ajillo,13
2025-03-29,Glass of Rioja,104
2025-03-29,Grilled Steak,2
2025-03-29,Menu del Dia,23
2025-03-29,Patatas Bravas,15
2025-03-29,Sangria Jug,80
2025-03-29,Seafood Paella,336
2025-03-29,Tortilla Espanola,12
2025-03-30,Chicken Roast,3
2025-03-30,Cortado,136
2025-03-30,Estrella Damm (Caña),103
2025-03-30,Gambas al Ajillo,17
2025-03-30,Glass of Rioja,116
2025-03-30,Grilled Steak,4
2025-03-30,Menu del Dia,35
2025-03-30,Patatas Bravas,19
2025-03-30,Sangria Jug,122
2025-03-30,Seafood Paella,462
2025-03-30,Tortilla Espanola,29
2025-03-31,Chicken Roast,1
2025-03-31,Cortado,92
2025-03-31,Estrella Damm (Caña),90
2025-03-31,Gambas al Ajillo,11
2025-03-31,Glass of Rioja,85
2025-03-31,Grilled Steak,2
2025-03-31,Menu del Dia,19
2025-03-31,Patatas Bravas,26
2025-03-31,Sangria Jug,86
2025-03-31,Seafood Paella,400
2025-03-31,Tortilla Espanola,24
2025-04-01,Chicken Roast,3
2025-04-01,Cortado,56
2025-04-01,Estrella Damm (Caña),54
2025-04-01,Gambas al Ajillo,15
2025-04-01,Glass of Rioja,72
2025-04-01,Menu del Dia,15
2025-04-01,Patatas Bravas,9
2025-04-01,Sangria Jug,64
2025-04-01,Seafood Paella,228
2025-04-01,Tortilla Espanola,8
2025-04-02,Chicken Roast,3
2025-04-02,Cortado,110
2025-04-02,Estrella Damm (Caña),104
2025-04-02,Gambas al Ajillo,14
2025-04-02,Glass of Rioja,93
2025-04-02,Grilled Steak,2
2025-04-02,Menu del Dia,22
2025-04-02,Patatas Bravas,15
2025-04-02,Sangria Jug,99
2025-04-02,Seafood Paella,407
2025-04-02,Tortilla Espanola,19
2025-04-03,Chicken Roast,1
2025-04-03,Cortado,41
2025-04-03,Estrella Damm (Caña),42
2025-04-03,Gambas al Ajillo,15
2025-04-03,Glass of Rioja,52
2025-04-03,Grilled Steak,3
2025-04-03,Menu del Dia,11
2025-04-03,Patatas Bravas,6
2025-04-03,Sangria Jug,51
2025-04-03,Seafood Paella,180
2025-04-03,Tortilla Espanola,12
2025-04-04,Chicken Roast,5
2025-04-04,Cortado,112
2025-04-04,Estrella Damm (Caña),116
2025-04-04,Gambas al Ajillo,14
2025-04-04,Glass of Rioja,117
2025-04-04,Grilled Steak,5
2025-04-04,Menu del Dia,29
2025-04-04,Patatas Bravas,16
2025-04-04,Sangria Jug,111
2025-04-04,Seafood Paella,435
2025-04-04,Tortilla Espanola,25
2025-04-05,Chicken Roast,1
2025-04-05,Cortado,79
2025-04-05,Estrella Damm (Caña),67
2025-04-05,Gambas al Ajillo,18
2025-04-05,Glass of Rioja,79
2025-04-05,Grilled Steak,5
2025-04-05,Menu del Dia,14
2025-04-05,Patatas Bravas,10
2025-04-05,Sangria Jug,65
2025-04-05,Seafood Paella,259
2025-04-05,Tortilla Espanola,13
2025-04-06,Chicken Roast,3
2025-04-06,Cortado,58
2025-04-06,Estrella Damm (Caña),68
2025-04-06,Gambas al Ajillo,14
2025-04-06,Glass of Rioja,62
2025-04-06,Grilled Steak,3
2025-04-06,Menu del Dia,9
2025-04-06,Patatas Bravas,6
2025-04-06,Sangria Jug,49
2025-04-06,Seafood Paella,261
2025-04-06,Tortilla Espanola,14
2025-04-07,Chicken Roast,3
2025-04-07,Cortado,94
2025-04-07,Estrella Damm (Caña),89
2025-04-07,Gambas al Ajillo,22
2025-04-07,Glass of Rioja,99
2025-04-07,Grilled Steak,5
2025-04-07,Menu del Dia,28
2025-04-07,Patatas Bravas,26
2025-04-07,Sangria Jug,126
2025-04-07,Seafood Paella,414
2025-04-07,Tortilla Espanola,33
2025-04-08,Chicken Roast,8
2025-04-08,Cortado,66
2025-04-08,Estrella Damm (Caña),58
2025-04-08,Gambas al Ajillo,11
2025-04-08,Glass of Rioja,65
2025-04-08,Grilled Steak,5
2025-04-08,Menu del Dia,26
2025-04-08,Patatas Bravas,14
2025-04-08,Sangria Jug,71
2025-04-08,Seafood Paella,223
2025-04-08,Tortilla Espanola,17
2025-04-09,Chicken Roast,3
2025-04-09,Cortado,96
2025-04-09,Estrella Damm (Caña),90
2025-04-09,Gambas al Ajillo,19
2025-04-09,Glass of Rioja,84
2025-04-09,Grilled Steak,1
2025-04-09,Menu del Dia,26
2025-04-09,Patatas Bravas,23
2025-04-09,Sangria Jug,91
2025-04-09,Seafood Paella,352
2025-04-09,Tortilla Espanola,19
2025-04-10,Chicken Roast,4
2025-04-10,Cortado,103
2025-04-10,Estrella Damm (Caña),107
2025-04-10,Gambas al Ajillo,24
2025-04-10,Glass of Rioja,93
2025-04-10,Grilled Steak,2
2025-04-10,Menu del Dia,31
2025-04-10,Patatas Bravas,24
2025-04-10,Sangria Jug,77
2025-04-10,Seafood Paella,377
2025-04-10,Tortilla Espanola,16
2025-04-11,Chicken Roast,2
2025-04-11,Cortado,125
2025-04-11,Estrella Damm (Caña),126
2025-04-11,Gambas al Ajillo,20
2025-04-11,Glass of Rioja,119
2025-04-11,Grilled Steak,1
2025-04-11,Menu del Dia,27
2025-04-11,Patatas Bravas,20
2025-04-11,Sangria Jug,120
2025-04-11,Seafood Paella,468
2025-04-11,Tortilla Espanola,23
2025-04-12,Cortado,49
2025-04-12,Estrella Damm (Caña),64
2025-04-12,Gambas al Ajillo,12
2025-04-12,Glass of Rioja,69
2025-04-12,Grilled Steak,1
2025-04-12,Menu del Dia,16
2025-04-12,Patatas Bravas,9
2025-04-12,Sangria Jug,67
2025-04-12,Seafood Paella,209
2025-04-12,Tortilla Espanola,16
2025-04-13,Chicken Roast,3
2025-04-13,Cortado,106
2025-04-13,Estrella Damm (Caña),90
2025-04-13,Gambas al Ajillo,18
2025-04-13,Glass of Rioja,102
2025-04-13,Grilled Steak,3
2025-04-13,Menu del Dia,16
2025-04-13,Patatas Bravas,25
2025-04-13,Sangria Jug,111
2025-04-13,Seafood Paella,364
2025-04-13,Tortilla Espanola,24
2025-04-14,Cortado,108
2025-04-14,Estrella Damm (Caña),74
2025-04-14,Gambas al Ajillo,14
2025-04-14,Glass of Rioja,110
2025-04-14,Menu del Dia,23
2025-04-14,Patatas Bravas,22
2025-04-14,Sangria Jug,99
2025-04-14,Seafood Paella,353
2025-04-14,Tortilla Espanola,17
2025-04-15,Chicken Roast,4
2025-04-15,Cortado,103
2025-04-15,Estrella Damm (Caña),89
2025-04-15,Gambas al Ajillo,15
2025-04-15,Glass of Rioja,96
2025-04-15,Menu del Dia,22
2025-04-15,Patatas Bravas,19
2025-04-15,Sangria Jug,86
2025-04-15,Seafood Paella,352
2025-04-15,Tortilla Espanola,27
2025-04-16,Chicken Roast,5
2025-04-16,Cortado,98
2025-04-16,Estrella Damm (Caña),88
2025-04-16,Gambas al Ajillo,20
2025-04-16,Glass of Rioja,87
2025-04-16,Grilled Steak,4
2025-04-16,Menu del Dia,21
2025-04-16,Patatas Bravas,13
2025-04-16,Sangria Jug,98
2025-04-16,Seafood Paella,385
2025-04-16,Tortilla Espanola,14
2025-04-17,Cortado,46
2025-04-17,Estrella Damm (Caña),41
2025-04-17,Gambas al Ajillo,10
2025-04-17,Glass of Rioja,63
2025-04-17,Grilled Steak,6
2025-04-17,Menu del Dia,22
2025-04-17,Patatas Bravas,7
2025-04-17,Sangria Jug,59
2025-04-17,Seafood Paella,195
2025-04-17,Tortilla Espanola,16
2025-04-18,Chicken Roast,2
2025-04-18,Cortado,67
2025-04-18,Estrella Damm (Caña),51
2025-04-18,Gambas al Ajillo,11
2025-04-18,Glass of Rioja,62
2025-04-18,Grilled Steak,4
2025-04-18,Menu del Dia,21
2025-04-18,Patatas Bravas,10
2025-04-18,Sangria Jug,51
2025-04-18,Seafood Paella,257
2025-04-18,Tortilla Espanola,11
2025-04-19,Chicken Roast,3
2025-04-19,Cortado,100
2025-04-19,Estrella Damm (Caña),119
2025-04-19,Gambas al Ajillo,11
2025-04-19,Glass of Rioja,117
2025-04-19,Grilled Steak,2
2025-04-19,Menu del Dia,25
2025-04-19,Patatas Bravas,14
2025-04-19,Sangria Jug,111
2025-04-19,Seafood Paella,413
2025-04-19,Tortilla Espanola,20
2025-04-20,Chicken Roast,5
2025-04-20,Cortado,106
2025-04-20,Estrella Damm (Caña),98
2025-04-20,Gambas al Ajillo,20
2025-04-20,Glass of Rioja,110
2025-04-20,Grilled Steak,5
2025-04-20,Menu del Dia,22
2025-04-20,Patatas Bravas,14
2025-04-20,Sangria Jug,86
2025-04-20,Seafood Paella,408
2025-04-20,Tortilla Espanola,20
2025-04-21,Cortado,54
2025-04-21,Estrella Damm (Caña),46
2025-04-21,Gambas al Ajillo,14
2025-04-21,Glass of Rioja,66
2025-04-21,Grilled Steak,2
2025-04-21,Menu del Dia,11
2025-04-21,Patatas Bravas,19
2025-04-21,Sangria Jug,48
2025-04-21,Seafood Paella,258
2025-04-21,Tortilla Espanola,15
2025-04-22,Chicken Roast,3
2025-04-22,Cortado,106
2025-04-22,Estrella Damm (Caña),90
2025-04-22,Gambas al Ajillo,29
2025-04-22,Glass of Rioja,104
2025-04-22,Grilled Steak,7
2025-04-22,Menu del Dia,24
2025-04-22,Patatas Bravas,19
2025-04-22,Sangria Jug,100
2025-04-22,Seafood Paella,430
2025-04-22,Tortilla Espanola,19
2025-04-23,Cortado,184
2025-04-23,Estrella Damm (Caña),183
2025-04-23,Gambas al Ajillo,15
2025-04-23,Glass of Rioja,176
2025-04-23,Menu del Dia,38
2025-04-23,Patatas Bravas,20
2025-04-23,Sangria Jug,166
2025-04-23,Seafood Paella,716
2025-04-23,Tortilla Espanola,21
2025-04-24,Chicken Roast,4
2025-04-24,Cortado,95
2025-04-24,Estrella Damm (Caña),90
2025-04-24,Gambas al Ajillo,13
2025-04-24,Glass of Rioja,84
2025-04-24,Menu del Dia,13
2025-04-24,Patatas Bravas,14
2025-04-24,Sangria Jug,89
2025-04-24,Seafood Paella,338
2025-04-24,Tortilla Espanola,11
2025-04-25,Chicken Roast,4
2025-04-25,Cortado,91
2025-04-25,Estrella Damm (Caña),106
2025-04-25,Gambas al Ajillo,16
2025-04-25,Glass of Rioja,107
2025-04-25,Grilled Steak,2
2025-04-25,Menu del Dia,28
2025-04-25,Patatas Bravas,17
2025-04-25,Sangria Jug,114
2025-04-25,Seafood Paella,419
2025-04-25,Tortilla Espanola,21
2025-04-26,Chicken Roast,6
2025-04-26,Cortado,85
2025-04-26,Estrella Damm (Caña),95
2025-04-26,Gambas al Ajillo,13
2025-04-26,Glass of Rioja,112
2025-04-26,Grilled Steak,1
2025-04-26,Menu del Dia,27
2025-04-26,Patatas Bravas,18
2025-04-26,Sangria Jug,90
2025-04-26,Seafood Paella,365
2025-04-26,Tortilla Espanola,20
2025-04-27,Chicken Roast,4
2025-04-27,Cortado,99
2025-04-27,Estrella Damm (Caña),87
2025-04-27,Gambas al Ajillo,20
2025-04-27,Glass of Rioja,98
2025-04-27,Grilled Steak,3
2025-04-27,Menu del Dia,28
2025-04-27,Patatas Bravas,18
2025-04-27,Sangria Jug,90
2025-04-27,Seafood Paella,412
2025-04-27,Tortilla Espanola,19
2025-04-28,Chicken Roast,2
2025-04-28,Cortado,56
2025-04-28,Estrella Damm (Caña),58
2025-04-28,Gambas al Ajillo,12
2025-04-28,Glass of Rioja,65
2025-04-28,Menu del Dia,11
2025-04-28,Patatas Bravas,7
2025-04-28,Sangria Jug,57
2025-04-28,Seafood Paella,220
2025-04-28,Tortilla Espanola,13
2025-04-29,Chicken Roast,4
2025-04-29,Cortado,98
2025-04-29,Estrella Damm (Caña),105
2025-04-29,Gambas al Ajillo,9
2025-04-29,Glass of Rioja,93
2025-04-29,Grilled Steak,2
2025-04-29,Menu del Dia,15
2025-04-29,Patatas Bravas,16
2025-04-29,Sangria Jug,94
2025-04-29,Seafood Paella,354
2025-04-29,Tortilla Espanola,12
2025-04-30,Chicken Roast,2
2025-04-30,Cortado,143
2025-04-30,Estrella Damm (Caña),126
2025-04-30,Gambas al Ajillo,23
2025-04-30,Glass of Rioja,126
2025-04-30,Grilled Steak,1
2025-04-30,Menu del Dia,34
2025-04-30,Patatas Bravas,22
2025-04-30,Sangria Jug,133
2025-04-30,Seafood Paella,503
2025-04-30,Tortilla Espanola,25
2025-05-01,Chicken Roast,1
2025-05-01,Cortado,69
2025-05-01,Estrella Damm (Caña),77
2025-05-01,Gambas al Ajillo,10
2025-05-01,Glass of Rioja,52
2025-05-01,Grilled Steak,1
2025-05-01,Menu del Dia,14
2025-05-01,Patatas Bravas,9
2025-05-01,Sangria Jug,57
2025-05-01,Seafood Paella,263
2025-05-01,Tortilla Espanola,5
2025-05-02,Chicken Roast,2
2025-05-02,Cortado,82
2025-05-02,Estrella Damm (Caña),56
2025-05-02,Gambas al Ajillo,11
2025-05-02,Glass of Rioja,68
2025-05-02,Menu del Dia,18
2025-05-02,Patatas Bravas,14
2025-05-02,Sangria Jug,61
2025-05-02,Seafood Paella,282
2025-05-02,Tortilla Espanola,16
2025-05-03,Chicken Roast,2
2025-05-03,Cortado,86
2025-05-03,Estrella Damm (Caña),104
2025-05-03,Gambas al Ajillo,14
2025-05-03,Glass of Rioja,82
2025-05-03,Grilled Steak,2
2025-05-03,Menu del Dia,21
2025-05-03,Patatas Bravas,12
2025-05-03,Sangria Jug,94
2025-05-03,Seafood Paella,363
2025-05-03,Tortilla Espanola,14
2025-05-04,Chicken Roast,6
2025-05-04,Cortado,99
2025-05-04,Estrella Damm (Caña),92
2025-05-04,Gambas al Ajillo,22
2025-05-04,Glass of Rioja,93
2025-05-04,Grilled Steak,1
2025-05-04,Menu del Dia,26
2025-05-04,Patatas Bravas,25
2025-05-04,Sangria Jug,90
2025-05-04,Seafood Paella,384
2025-05-04,Tortilla Espanola,29
2025-05-05,Chicken Roast,4
2025-05-05,Cortado,117
2025-05-05,Estrella Damm (Caña),115
2025-05-05,Gambas al Ajillo,29
2025-05-05,Glass of Rioja,108
2025-05-05,Grilled Steak,3
2025-05-05,Menu del Dia,31
2025-05-05,Patatas Bravas,28
2025-05-05,Sangria Jug,101
2025-05-05,Seafood Paella,366
2025-05-05,Tortilla Espanola,19
2025-05-06,Chicken Roast,2
2025-05-06,Cortado,130
2025-05-06,Estrella Damm (Caña),99
2025-05-06,Gambas al Ajillo,20
2025-05-06,Glass of Rioja,129
2025-05-06,Grilled Steak,3
2025-05-06,Menu del Dia,31
2025-05-06,Patatas Bravas,30
2025-05-06,Sangria Jug,95
2025-05-06,Seafood Paella,497
2025-05-06,Tortilla Espanola,31
2025-05-07,Chicken Roast,3
2025-05-07,Cortado,92
2025-05-07,Estrella Damm (Caña),96
2025-05-07,Gambas al Ajillo,26
2025-05-07,Glass of Rioja,98
2025-05-07,Grilled Steak,3
2025-05-07,Menu del Dia,13
2025-05-07,Patatas Bravas,22
2025-05-07,Sangria Jug,96
2025-05-07,Seafood Paella,385
2025-05-07,Tortilla Espanola,29
2025-05-08,Cortado,115
2025-05-08,Estrella Damm (Caña),121
2025-05-08,Gambas al Ajillo,27
2025-05-08,Glass of Rioja,120
2025-05-08,Grilled Steak,7
2025-05-08,Menu del Dia,28
2025-05-08,Patatas Bravas,25
2025-05-08,Sangria Jug,128
2025-05-08,Seafood Paella,465
2025-05-08,Tortilla Espanola,18
2025-05-09,Chicken Roast,3
2025-05-09,Cortado,86
2025-05-09,Estrella Damm (Caña),94
2025-05-09,Gambas al Ajillo,8
2025-05-09,Glass of Rioja,84
2025-05-09,Grilled Steak,1
2025-05-09,Menu del Dia,22
2025-05-09,Patatas Bravas,15
2025-05-09,Sangria Jug,80
2025-05-09,Seafood Paella,355
2025-05-09,Tortilla Espanola,14
2025-05-10,Chicken Roast,2
2025-05-10,Cortado,100
2025-05-10,Estrella Damm (Caña),92
2025-05-10,Gambas al Ajillo,18
2025-05-10,Glass of Rioja,100
2025-05-10,Menu del Dia,16
2025-05-10,Patatas Bravas,12
2025-05-10,Sangria Jug,90
2025-05-10,Seafood Paella,397
2025-05-10,Tortilla Espanola,10
2025-05-11,Chicken Roast,3
2025-05-11,Cortado,85
2025-05-11,Estrella Damm (Caña),99
2025-05-11,Gambas al Ajillo,32
2025-05-11,Glass of Rioja,95
2025-05-11,Grilled Steak,3
2025-05-11,Menu del Dia,20
2025-05-11,Patatas Bravas,19
2025-05-11,Sangria Jug,93
2025-05-11,Seafood Paella,317
2025-05-11,Tortilla Espanola,22
2025-05-12,Chicken Roast,3
2025-05-12,Cortado,100
2025-05-12,Estrella Damm (Caña),108
2025-05-12,Gambas al Ajillo,17
2025-05-12,Glass of Rioja,106
2025-05-12,Menu del Dia,24
2025-05-12,Patatas Bravas,21
2025-05-12,Sangria Jug,112
2025-05-12,Seafood Paella,415
2025-05-12,Tortilla Espanola,24
2025-05-13,Chicken Roast,4
2025-05-13,Cortado,67
2025-05-13,Estrella Damm (Caña),64
2025-05-13,Gambas al Ajillo,8
2025-05-13,Glass of Rioja,56
2025-05-13,Grilled Steak,2
2025-05-13,Menu del Dia,16
2025-05-13,Patatas Bravas,12
2025-05-13,Sangria Jug,50
2025-05-13,Seafood Paella,242
2025-05-13,Tortilla Espanola,16
2025-05-14,Chicken Roast,4
2025-05-14,Cortado,105
2025-05-14,Estrella Damm (Caña),102
2025-05-14,Gambas al Ajillo,22
2025-05-14,Glass of Rioja,115
2025-05-14,Menu del Dia,27
2025-05-14,Patatas Bravas,22
2025-05-14,Sangria Jug,125
2025-05-14,Seafood Paella,438
2025-05-14,Tortilla Espanola,12
2025-05-15,Cortado,69
2025-05-15,Estrella Damm (Caña),68
2025-05-15,Gambas al Ajillo,15
2025-05-15,Glass of Rioja,45
2025-05-15,Grilled Steak,3
2025-05-15,Menu del Dia,14
2025-05-15,Patatas Bravas,12
2025-05-15,Sangria Jug,81
2025-05-15,Seafood Paella,258
2025-05-15,Tortilla Espanola,19
2025-05-16,Chicken Roast,5
2025-05-16,Cortado,97
2025-05-16,Estrella Damm (Caña),91
2025-05-16,Gambas al Ajillo,24
2025-05-16,Glass of Rioja,112
2025-05-16,Grilled Steak,3
2025-05-16,Menu del Dia,26
2025-05-16,Patatas Bravas,12
2025-05-16,Sangria Jug,94
2025-05-16,Seafood Paella,362
2025-05-16,Tortilla Espanola,23
2025-05-17,Chicken Roast,1
2025-05-17,Cortado,48
2025-05-17,Estrella Damm (Caña),58
2025-05-17,Gambas al Ajillo,16
2025-05-17,Glass of Rioja,38
2025-05-17,Grilled Steak,4
2025-05-17,Menu del Dia,13
2025-05-17,Patatas Bravas,9
2025-05-17,Sangria Jug,59
2025-05-17,Seafood Paella,196
2025-05-17,Tortilla Espanola,10
2025-05-18,Cortado,57
2025-05-18,Estrella Damm (Caña),62
2025-05-18,Gambas al Ajillo,10
2025-05-18,Glass of Rioja,64
2025-05-18,Menu del Dia,18
2025-05-18,Patatas Bravas,6
2025-05-18,Sangria Jug,62
2025-05-18,Seafood Paella,261
2025-05-18,Tortilla Espanola,10
2025-05-19,Chicken Roast,1
2025-05-19,Cortado,115
2025-05-19,Estrella Damm (Caña),120
2025-05-19,Gambas al Ajillo,9
2025-05-19,Glass of Rioja,112
2025-05-19,Menu del Dia,20
2025-05-19,Patatas Bravas,13
2025-05-19,Sangria Jug,100
2025-05-19,Seafood Paella,418
2025-05-19,Tortilla Espanola,16
2025-05-20,Chicken Roast,2
2025-05-20,Cortado,82
2025-05-20,Estrella Damm (Caña),87
2025-05-20,Gambas al Ajillo,20
2025-05-20,Glass of Rioja,93
2025-05-20,Grilled Steak,2
2025-05-20,Menu del Dia,20
2025-05-20,Patatas Bravas,17
2025-05-20,Sangria Jug,80
2025-05-20,Seafood Paella,356
2025-05-20,Tortilla Espanola,20
2025-05-21,Chicken Roast,1
2025-05-21,Cortado,56
2025-05-21,Estrella Damm (Caña),56
2025-05-21,Gambas al Ajillo,19
2025-05-21,Glass of Rioja,47
2025-05-21,Grilled Steak,2
2025-05-21,Menu del Dia,12
2025-05-21,Patatas Bravas,13
2025-05-21,Sangria Jug,78
2025-05-21,Seafood Paella,248
2025-05-21,Tortilla Espanola,4
2025-05-22,Chicken Roast,4
2025-05-22,Cortado,123
2025-05-22,Estrella Damm (Caña),118
2025-05-22,Gambas al Ajillo,21
2025-05-22,Glass of Rioja,110
2025-05-22,Grilled Steak,1
2025-05-22,Menu del Dia,35
2025-05-22,Patatas Bravas,21
2025-05-22,Sangria Jug,116
2025-05-22,Seafood Paella,435
2025-05-22,Tortilla Espanola,22
2025-05-23,Chicken Roast,1
2025-05-23,Cortado,103
2025-05-23,Estrella Damm (Caña),78
2025-05-23,Gambas al Ajillo,28
2025-05-23,Glass of Rioja,85
2025-05-23,Grilled Steak,4
2025-05-23,Menu del Dia,17
2025-05-23,Patatas Bravas,24
2025-05-23,Sangria Jug,108
2025-05-23,Seafood Paella,428
2025-05-23,Tortilla Espanola,25
2025-05-24,Cortado,100
2025-05-24,Estrella Damm (Caña),102
2025-05-24,Gambas al Ajillo,21
2025-05-24,Glass of Rioja,98
2025-05-24,Menu del Dia,27
2025-05-24,Patatas Bravas,25
2025-05-24,Sangria Jug,95
2025-05-24,Seafood Paella,377
2025-05-24,Tortilla Espanola,22
2025-05-25,Chicken Roast,2
2025-05-25,Cortado,102
2025-05-25,Estrella Damm (Caña),94
2025-05-25,Gambas al Ajillo,17
2025-05-25,Glass of Rioja,96
2025-05-25,Grilled Steak,4
2025-05-25,Menu del Dia,27
2025-05-25,Patatas Bravas,21
2025-05-25,Sangria Jug,80
2025-05-25,Seafood Paella,353
2025-05-25,Tortilla Espanola,21
2025-05-26,Chicken Roast,2
2025-05-26,Cortado,98
2025-05-26,Estrella Damm (Caña),107
2025-05-26,Gambas al Ajillo,19
2025-05-26,Glass of Rioja,95
2025-05-26,Grilled Steak,2
2025-05-26,Menu del Dia,29
2025-05-26,Patatas Bravas,19
2025-05-26,Sangria Jug,101
2025-05-26,Seafood Paella,428
2025-05-26,Tortilla Espanola,21
2025-05-27,Chicken Roast,5
2025-05-27,Cortado,105
2025-05-27,Estrella Damm (Caña),85
2025-05-27,Gambas al Ajillo,15
2025-05-27,Glass of Rioja,114
2025-05-27,Grilled Steak,6
2025-05-27,Menu del Dia,29
