date,ingredient,quantity_used
2025-03-01,Seafood Mix,95.45
2025-03-01,Olive Oil,22.5
2025-03-01,Wine Bottle (Red),17.55
2025-03-01,Coffee Beans,1.3029
2025-03-01,Beer Keg (30L),30.6
2025-03-01,Sangria Mix,107.0
2025-03-01,Chicken,8.08
2025-03-01,Potatoes,14.847
2025-03-01,Lettuce,2.4
2025-03-01,Eggs,54.0
2025-03-01,Onions,1.8
2025-03-01,Beef Steak,0.3
2025-03-02,Rice (Bomba),37.7235
2025-03-02,Seafood Mix,63.85
2025-03-02,Olive Oil,14.6
2025-03-02,Sangria Mix,64.0
2025-03-02,Coffee Beans,0.8636
2025-03-02,Beer Keg (30L),17.7
2025-03-02,Wine Bottle (Red),9.75
2025-03-02,Chicken,3.131
2025-03-02,Potatoes,9.696
2025-03-02,Lettuce,0.9
2025-03-02,Eggs,33.0
2025-03-02,Onions,1.1
2025-03-02,Beef Steak,0.9
2025-03-03,Coffee Beans,1.3483
2025-03-03,Rice (Bomba),50.601
2025-03-03,Seafood Mix,85.9
2025-03-03,Olive Oil,19.75
2025-03-03,Beer Keg (30L),28.5
2025-03-03,Sangria Mix,81.0
2025-03-03,Wine Bottle (Red),15.75
2025-03-03,Chicken,5.05
2025-03-03,Potatoes,12.827
2025-03-03,Lettuce,1.4
2025-03-03,Eggs,60.0
2025-03-03,Onions,2.0
2025-03-03,Beef Steak,0.6
2025-03-04,Rice (Bomba),66.054
2025-03-04,Seafood Mix,113.4
2025-03-04,Olive Oil,26.2
2025-03-04,Sangria Mix,106.0
2025-03-04,Beer Keg (30L),46.5
2025-03-04,Wine Bottle (Red),18.0
2025-03-04,Coffee Beans,1.7725
2025-03-04,Chicken,11.918
2025-03-04,Potatoes,20.2
2025-03-04,Lettuce,3.4
2025-03-04,Beef Steak,1.8
2025-03-04,Eggs,60.0
2025-03-04,Onions,2.0
2025-03-05,Wine Bottle (Red),15.0
2025-03-05,Rice (Bomba),58.176
2025-03-05,Seafood Mix,100.6
2025-03-05,Olive Oil,23.95
2025-03-05,Coffee Beans,1.5301
2025-03-05,Beer Keg (30L),42.9
2025-03-05,Sangria Mix,111.0
2025-03-05,Chicken,7.777
2025-03-05,Potatoes,18.18
2025-03-05,Lettuce,2.3
2025-03-05,Eggs,69.0
2025-03-05,Onions,2.3
2025-03-05,Beef Steak,0.9
2025-03-06,Rice (Bomba),64.9935
2025-03-06,Seafood Mix,110.65
2025-03-06,Olive Oil,24.95
2025-03-06,Coffee Beans,1.6665
2025-03-06,Wine Bottle (Red),17.55
2025-03-06,Sangria Mix,108.0
2025-03-06,Beer Keg (30L),39.6
2025-03-06,Eggs,63.0
2025-03-06,Potatoes,15.655
2025-03-06,Onions,2.1
2025-03-06,Chicken,9.292
2025-03-06,Lettuce,2.4
2025-03-06,Beef Steak,1.5
2025-03-07,Rice (Bomba),51.6615
2025-03-07,Seafood Mix,90.25
2025-03-07,Olive Oil,20.95
2025-03-07,Sangria Mix,73.0
2025-03-07,Wine Bottle (Red),15.0
2025-03-07,Beer Keg (30L),33.0
2025-03-07,Coffee Beans,1.4392
2025-03-07,Chicken,7.777
2025-03-07,Potatoes,12.726
2025-03-07,Lettuce,2.3
2025-03-07,Eggs,42.0
2025-03-07,Onions,1.4
2025-03-07,Beef Steak,0.9
2025-03-08,Rice (Bomba),40.4505
2025-03-08,Seafood Mix,67.95
2025-03-08,Olive Oil,15.15
2025-03-08,Sangria Mix,55.0
2025-03-08,Wine Bottle (Red),9.9
2025-03-08,Beer Keg (30L),24.9
2025-03-08,Coffee Beans,0.8484
2025-03-08,Chicken,4.545
2025-03-08,Potatoes,9.393
2025-03-08,Lettuce,1.5
2025-03-08,Eggs,45.0
2025-03-08,Onions,1.5
2025-03-08,Beef Steak,0.9
2025-03-09,Rice (Bomba),48.6315
2025-03-09,Seafood Mix,83.85
2025-03-09,Olive Oil,19.25
2025-03-09,Beer Keg (30L),37.5
2025-03-09,Coffee Beans,1.0908
2025-03-09,Sangria Mix,93.0
2025-03-09,Wine Bottle (Red),12.45
2025-03-09,Chicken,7.474
2025-03-09,Potatoes,12.524
2025-03-09,Lettuce,2.2
2025-03-09,Eggs,42.0
2025-03-09,Onions,1.4
2025-03-09,Beef Steak,0.9
2025-03-10,Beer Keg (30L),42.3
2025-03-10,Rice (Bomba),60.4485
2025-03-10,Seafood Mix,103.55
2025-03-10,Olive Oil,23.85
2025-03-10,Wine Bottle (Red),13.8
2025-03-10,Sangria Mix,106.0
2025-03-10,Coffee Beans,1.7119
2025-03-10,Chicken,9.898
2025-03-10,Potatoes,16.16
2025-03-10,Lettuce,3.0
2025-03-10,Eggs,84.0
2025-03-10,Onions,2.8
2025-03-10,Beef Steak,0.6
2025-03-11,Coffee Beans,1.5453
2025-03-11,Beer Keg (30L),35.1
2025-03-11,Sangria Mix,91.0
2025-03-11,Rice (Bomba),60.1455
2025-03-11,Seafood Mix,102.05
2025-03-11,Olive Oil,22.7
2025-03-11,Wine Bottle (Red),13.8
2025-03-11,Chicken,9.797
2025-03-11,Potatoes,14.14
2025-03-11,Lettuce,3.1
2025-03-11,Eggs,39.0
2025-03-11,Onions,1.3
2025-03-11,Beef Steak,0.3
2025-03-12,Beer Keg (30L),32.7
2025-03-12,Coffee Beans,1.3332
2025-03-12,Sangria Mix,85.0
2025-03-12,Rice (Bomba),58.479
2025-03-12,Seafood Mix,99.7
2025-03-12,Olive Oil,22.35
2025-03-12,Wine Bottle (Red),14.4
2025-03-12,Eggs,54.0
2025-03-12,Potatoes,11.413
2025-03-12,Onions,1.8
2025-03-12,Beef Steak,0.3
2025-03-12,Chicken,6.565
2025-03-12,Lettuce,1.9
2025-03-13,Beer Keg (30L),20.1
2025-03-13,Rice (Bomba),34.6935
2025-03-13,Seafood Mix,60.45
2025-03-13,Olive Oil,14.15
2025-03-13,Wine Bottle (Red),7.95
2025-03-13,Coffee Beans,0.7878
2025-03-13,Sangria Mix,54.0
2025-03-13,Potatoes,7.979
2025-03-13,Eggs,33.0
2025-03-13,Onions,1.1
2025-03-13,Chicken,3.434
2025-03-13,Lettuce,1.0
2025-03-13,Beef Steak,0.3
2025-03-14,Rice (Bomba),71.6595
2025-03-14,Seafood Mix,120.05
2025-03-14,Olive Oil,26.55
2025-03-14,Beer Keg (30L),39.9
2025-03-14,Coffee Beans,2.1058
2025-03-14,Wine Bottle (Red),17.25
2025-03-14,Sangria Mix,130.0
2025-03-14,Chicken,11.615
2025-03-14,Potatoes,19.089
2025-03-14,Lettuce,3.3
2025-03-14,Eggs,45.0
2025-03-14,Onions,1.5
2025-03-14,Beef Steak,1.5
2025-03-15,Coffee Beans,1.1514
2025-03-15,Beer Keg (30L),23.7
2025-03-15,Rice (Bomba),37.572
2025-03-15,Seafood Mix,64.0
2025-03-15,Olive Oil,14.2
2025-03-15,Sangria Mix,55.0
2025-03-15,Wine Bottle (Red),9.9
2025-03-15,Chicken,3.636
2025-03-15,Potatoes,6.868
2025-03-15,Lettuce,1.2
2025-03-15,Beef Steak,0.3
2025-03-15,Eggs,18.0
2025-03-15,Onions,0.6
2025-03-16,Rice (Bomba),47.7225
2025-03-16,Seafood Mix,82.75
2025-03-16,Olive Oil,19.3
2025-03-16,Sangria Mix,85.0
2025-03-16,Beer Keg (30L),33.3
2025-03-16,Chicken,6.868
2025-03-16,Potatoes,12.827
2025-03-16,Lettuce,2.0
2025-03-16,Coffee Beans,1.3332
2025-03-16,Wine Bottle (Red),15.9
2025-03-16,Eggs,42.0
2025-03-16,Onions,1.4
2025-03-16,Beef Steak,0.6
2025-03-17,Sangria Mix,98.0
2025-03-17,Rice (Bomba),67.872
2025-03-17,Seafood Mix,113.2
2025-03-17,Olive Oil,24.75
2025-03-17,Wine Bottle (Red),20.25
2025-03-17,Coffee Beans,1.6968
2025-03-17,Beer Keg (30L),37.2
2025-03-17,Chicken,10.605
2025-03-17,Potatoes,15.958
2025-03-17,Lettuce,3.1
2025-03-17,Eggs,45.0
2025-03-17,Onions,1.5
2025-03-18,Rice (Bomba),77.4165
2025-03-18,Seafood Mix,134.95
2025-03-18,Olive Oil,31.5
2025-03-18,Sangria Mix,122.0
2025-03-18,Coffee Beans,1.5756
2025-03-18,Beer Keg (30L),39.3
2025-03-18,Wine Bottle (Red),17.4
2025-03-18,Chicken,9.797
2025-03-18,Potatoes,18.786
2025-03-18,Lettuce,2.7
2025-03-18,Eggs,63.0
2025-03-18,Onions,2.1
2025-03-18,Beef Steak,0.6
2025-03-19,Rice (Bomba),67.4175
2025-03-19,Seafood Mix,114.65
2025-03-19,Olive Oil,26.0
2025-03-19,Coffee Beans,1.9392
2025-03-19,Beer Keg (30L),47.4
2025-03-19,Wine Bottle (Red),18.45
2025-03-19,Sangria Mix,121.0
2025-03-19,Chicken,8.181
2025-03-19,Potatoes,17.776
2025-03-19,Lettuce,2.3
2025-03-19,Beef Steak,2.7
2025-03-19,Eggs,51.0
2025-03-19,Onions,1.7
2025-03-20,Coffee Beans,1.106
2025-03-20,Rice (Bomba),50.904
2025-03-20,Seafood Mix,87.0
2025-03-20,Olive Oil,19.9
2025-03-20,Sangria Mix,84.0
2025-03-20,Wine Bottle (Red),10.35
2025-03-20,Beer Keg (30L),27.9
2025-03-20,Chicken,7.777
2025-03-20,Potatoes,14.241
2025-03-20,Lettuce,1.9
2025-03-20,Eggs,27.0
2025-03-20,Onions,0.9
2025-03-20,Beef Steak,0.9
2025-03-21,Rice (Bomba),53.7825
2025-03-21,Seafood Mix,91.15
2025-03-21,Olive Oil,20.7
2025-03-21,Coffee Beans,1.4847
2025-03-21,Sangria Mix,88.0
2025-03-21,Beer Keg (30L),26.4
2025-03-21,Wine Bottle (Red),12.15
2025-03-21,Eggs,45.0
2025-03-21,Potatoes,13.736
2025-03-21,Onions,1.5
2025-03-21,Chicken,6.565
2025-03-21,Lettuce,1.9
2025-03-21,Beef Steak,0.6
2025-03-22,Coffee Beans,1.4544
2025-03-22,Rice (Bomba),57.4185
2025-03-22,Seafood Mix,96.95
2025-03-22,Olive Oil,22.65
2025-03-22,Sangria Mix,110.0
2025-03-22,Beer Keg (30L),41.1
2025-03-22,Wine Bottle (Red),12.75
2025-03-22,Chicken,8.787
2025-03-22,Potatoes,18.584
2025-03-22,Eggs,90.0
2025-03-22,Onions,3.0
2025-03-22,Lettuce,2.5
2025-03-22,Beef Steak,0.3
2025-03-23,Rice (Bomba),69.8415
2025-03-23,Seafood Mix,118.65
2025-03-23,Olive Oil,26.35
2025-03-23,Coffee Beans,1.4847
2025-03-23,Beer Keg (30L),42.3
2025-03-23,Wine Bottle (Red),19.35
2025-03-23,Sangria Mix,125.0
2025-03-23,Chicken,9.494
2025-03-23,Potatoes,14.746
2025-03-23,Lettuce,2.6
2025-03-23,Beef Steak,0.6
2025-03-23,Eggs,42.0
2025-03-23,Onions,1.4
2025-03-24,Sangria Mix,91.0
2025-03-24,Rice (Bomba),48.177
2025-03-24,Seafood Mix,82.1
2025-03-24,Olive Oil,18.35
2025-03-24,Beer Keg (30L),38.4
2025-03-24,Wine Bottle (Red),13.8
2025-03-24,Coffee Beans,1.4392
2025-03-24,Chicken,7.676
2025-03-24,Potatoes,10.908
2025-03-24,Lettuce,2.4
2025-03-24,Eggs,45.0
2025-03-24,Onions,1.5
2025-03-24,Beef Steak,0.6
2025-03-25,Beer Keg (30L),43.5
2025-03-25,Sangria Mix,105.0
2025-03-25,Coffee Beans,1.3635
2025-03-25,Wine Bottle (Red),18.45
2025-03-25,Rice (Bomba),66.963
2025-03-25,Seafood Mix,112.9
2025-03-25,Olive Oil,24.9
2025-03-25,Chicken,8.383
2025-03-25,Potatoes,14.14
2025-03-25,Lettuce,2.5
2025-03-25,Beef Steak,0.6
2025-03-25,Eggs,42.0
2025-03-25,Onions,1.4
2025-03-26,Rice (Bomba),64.6905
2025-03-26,Seafood Mix,109.35
2025-03-26,Olive Oil,24.2
2025-03-26,Wine Bottle (Red),12.3
2025-03-26,Beer Keg (30L),36.0
2025-03-26,Sangria Mix,103.0
2025-03-26,Coffee Beans,1.4089
2025-03-26,Chicken,8.585
2025-03-26,Potatoes,12.928
2025-03-26,Lettuce,2.3
2025-03-26,Eggs,57.0
2025-03-26,Onions,1.9
2025-03-27,Beer Keg (30L),42.0
2025-03-27,Wine Bottle (Red),16.35
2025-03-27,Rice (Bomba),59.085
2025-03-27,Seafood Mix,103.7
2025-03-27,Olive Oil,24.05
2025-03-27,Sangria Mix,112.0
2025-03-27,Chicken,8.787
2025-03-27,Potatoes,13.332
2025-03-27,Lettuce,2.5
2025-03-27,Coffee Beans,1.5301
2025-03-27,Eggs,39.0
2025-03-27,Onions,1.3
2025-03-27,Beef Steak,0.3
2025-03-28,Beer Keg (30L),34.5
2025-03-28,Rice (Bomba),59.8425
2025-03-28,Seafood Mix,104.35
2025-03-28,Olive Oil,25.25
2025-03-28,Wine Bottle (Red),16.8
2025-03-28,Coffee Beans,1.621
2025-03-28,Sangria Mix,94.0
2025-03-28,Chicken,8.08
2025-03-28,Potatoes,19.897
2025-03-28,Lettuce,2.4
2025-03-28,Eggs,81.0
2025-03-28,Onions,2.7
2025-03-28,Beef Steak,1.5
2025-03-29,Rice (Bomba),51.9645
2025-03-29,Seafood Mix,88.55
2025-03-29,Olive Oil,19.9
2025-03-29,Beer Keg (30L),25.8
2025-03-29,Coffee Beans,1.3483
2025-03-29,Wine Bottle (Red),16.2
2025-03-29,Sangria Mix,82.0
2025-03-29,Chicken,7.373
2025-03-29,Potatoes,12.221
2025-03-29,Lettuce,2.3
2025-03-29,Eggs,36.0
2025-03-29,Onions,1.2
2025-03-29,Beef Steak,0.6
2025-03-30,Sangria Mix,124.0
2025-03-30,Rice (Bomba),71.3565
2025-03-30,Seafood Mix,121.35
2025-03-30,Olive Oil,27.9
2025-03-30,Wine Bottle (Red),18.0
2025-03-30,Coffee Beans,2.0755
2025-03-30,Beer Keg (30L),42.3
2025-03-30,Chicken,12.12
2025-03-30,Potatoes,20.907
2025-03-30,Lettuce,3.6
2025-03-30,Beef Steak,1.2
2025-03-30,Eggs,96.0
2025-03-30,Onions,3.2
2025-03-31,Rice (Bomba),61.9635
2025-03-31,Seafood Mix,104.45
2025-03-31,Olive Oil,24.05
2025-03-31,Wine Bottle (Red),12.9
2025-03-31,Coffee Beans,1.4392
2025-03-31,Sangria Mix,86.0
2025-03-31,Beer Keg (30L),33.6
2025-03-31,Chicken,6.161
2025-03-31,Potatoes,17.17
2025-03-31,Lettuce,1.9
2025-03-31,Eggs,72.0
2025-03-31,Onions,2.4
2025-03-31,Beef Steak,0.6
2025-04-01,Beer Keg (30L),21.0
2025-04-01,Rice (Bomba),35.148
2025-04-01,Seafood Mix,61.0
2025-04-01,Olive Oil,13.95
2025-04-01,Wine Bottle (Red),11.1
2025-04-01,Coffee Beans,0.8787
2025-04-01,Sangria Mix,67.0
2025-04-01,Chicken,5.757
2025-04-01,Potatoes,7.979
2025-04-01,Lettuce,1.5
2025-04-01,Eggs,24.0
2025-04-01,Onions,0.8
2025-04-02,Rice (Bomba),62.418
2025-04-02,Seafood Mix,106.0
2025-04-02,Olive Oil,23.9
2025-04-02,Coffee Beans,1.6968
2025-04-02,Wine Bottle (Red),14.25
2025-04-02,Beer Keg (30L),38.7
2025-04-02,Sangria Mix,103.0
2025-04-02,Chicken,7.878
2025-04-02,Potatoes,14.443
2025-04-02,Lettuce,2.2
2025-04-02,Eggs,57.0
2025-04-02,Onions,1.9
2025-04-02,Beef Steak,0.6
2025-04-03,Sangria Mix,52.0
2025-04-03,Rice (Bomba),28.179
2025-04-03,Seafood Mix,49.5
2025-04-03,Olive Oil,11.7
2025-04-03,Coffee Beans,0.6212
2025-04-03,Wine Bottle (Red),8.25
2025-04-03,Beer Keg (30L),16.2
2025-04-03,Chicken,3.737
2025-04-03,Potatoes,7.272
2025-04-03,Lettuce,1.1
2025-04-03,Beef Steak,0.9
2025-04-03,Eggs,36.0
2025-04-03,Onions,1.2
2025-04-04,Coffee Beans,1.7271
2025-04-04,Sangria Mix,111.0
2025-04-04,Rice (Bomba),66.8115
2025-04-04,Seafood Mix,113.25
2025-04-04,Olive Oil,25.6
2025-04-04,Beer Keg (30L),44.4
2025-04-04,Wine Bottle (Red),18.0
2025-04-04,Chicken,11.11
2025-04-04,Potatoes,17.978
2025-04-04,Lettuce,3.0
2025-04-04,Eggs,75.0
2025-04-04,Onions,2.5
2025-04-04,Beef Steak,1.5
2025-04-05,Wine Bottle (Red),11.85
2025-04-05,Beer Keg (30L),24.3
2025-04-05,Sangria Mix,65.0
2025-04-05,Rice (Bomba),40.4505
2025-04-05,Seafood Mix,70.35
2025-04-05,Olive Oil,16.3
2025-04-05,Chicken,4.646
2025-04-05,Potatoes,9.696
2025-04-05,Lettuce,1.4
2025-04-05,Coffee Beans,1.212
2025-04-05,Eggs,39.0
2025-04-05,Onions,1.3
2025-04-05,Beef Steak,1.5
2025-04-06,Rice (Bomba),40.4505
2025-04-06,Seafood Mix,69.55
2025-04-06,Olive Oil,15.8
2025-04-06,Wine Bottle (Red),9.9
2025-04-06,Sangria Mix,49.0
2025-04-06,Coffee Beans,0.909
2025-04-06,Beer Keg (30L),24.0
2025-04-06,Potatoes,7.878
2025-04-06,Beef Steak,0.9
2025-04-06,Chicken,3.939
2025-04-06,Lettuce,0.9
2025-04-06,Eggs,45.0
2025-04-06,Onions,1.5
2025-04-07,Beer Keg (30L),35.7
2025-04-07,Rice (Bomba),63.63
2025-04-07,Seafood Mix,109.4
2025-04-07,Olive Oil,26.3
2025-04-07,Wine Bottle (Red),14.85
2025-04-07,Coffee Beans,1.4392
2025-04-07,Sangria Mix,130.0
2025-04-07,Chicken,10.302
2025-04-07,Potatoes,22.927
2025-04-07,Lettuce,3.0
2025-04-07,Eggs,105.0
2025-04-07,Onions,3.5
2025-04-07,Beef Steak,1.5
2025-04-08,Rice (Bomba),34.542
2025-04-08,Seafood Mix,59.2
2025-04-08,Olive Oil,14.05
2025-04-08,Beer Keg (30L),25.5
2025-04-08,Sangria Mix,73.0
2025-04-08,Coffee Beans,1.0454
2025-04-08,Wine Bottle (Red),9.9
2025-04-08,Chicken,11.413
2025-04-08,Potatoes,15.756
2025-04-08,Lettuce,2.7
2025-04-08,Beef Steak,1.5
2025-04-08,Eggs,51.0
2025-04-08,Onions,1.7
2025-04-09,Rice (Bomba),53.7825
2025-04-09,Seafood Mix,92.55
2025-04-09,Olive Oil,21.8
2025-04-09,Wine Bottle (Red),12.6
2025-04-09,Coffee Beans,1.4695
2025-04-09,Beer Keg (30L),35.4
2025-04-09,Sangria Mix,91.0
2025-04-09,Chicken,9.393
2025-04-09,Potatoes,17.271
2025-04-09,Lettuce,2.7
2025-04-09,Eggs,60.0
2025-04-09,Onions,2.0
2025-04-09,Beef Steak,0.3
2025-04-10,Rice (Bomba),58.782
2025-04-10,Seafood Mix,102.0
2025-04-10,Olive Oil,23.9
2025-04-10,Wine Bottle (Red),13.95
2025-04-10,Coffee Beans,1.5604
2025-04-10,Chicken,11.009
2025-04-10,Potatoes,17.978
2025-04-10,Lettuce,3.1
2025-04-10,Beer Keg (30L),42.0
2025-04-10,Sangria Mix,79.0
2025-04-10,Eggs,48.0
2025-04-10,Onions,1.6
2025-04-10,Beef Steak,0.6
2025-04-11,Rice (Bomba),72.5685
2025-04-11,Seafood Mix,123.95
2025-04-11,Olive Oil,28.25
2025-04-11,Beer Keg (30L),47.1
2025-04-11,Wine Bottle (Red),18.0
2025-04-11,Coffee Beans,1.8937
2025-04-11,Sangria Mix,122.0
2025-04-11,Chicken,8.989
2025-04-11,Potatoes,16.968
2025-04-11,Lettuce,2.7
2025-04-11,Eggs,72.0
2025-04-11,Onions,2.4
2025-04-11,Beef Steak,0.3
2025-04-12,Rice (Bomba),32.724
2025-04-12,Seafood Mix,56.4
2025-04-12,Olive Oil,13.25
2025-04-12,Sangria Mix,71.0
2025-04-12,Beer Keg (30L),24.3
2025-04-12,Wine Bottle (Red),10.65
2025-04-12,Coffee Beans,0.7424
2025-04-12,Chicken,5.151
2025-04-12,Potatoes,9.595
2025-04-12,Lettuce,1.7
2025-04-12,Eggs,48.0
2025-04-12,Onions,1.6
2025-04-12,Beef Steak,0.3
2025-04-13,Sangria Mix,113.0
2025-04-13,Coffee Beans,1.6513
2025-04-13,Beer Keg (30L),32.7
2025-04-13,Rice (Bomba),55.2975
2025-04-13,Seafood Mix,94.85
2025-04-13,Olive Oil,22.65
2025-04-13,Wine Bottle (Red),16.05
2025-04-13,Chicken,6.06
2025-04-13,Potatoes,17.675
2025-04-13,Lettuce,1.6
2025-04-13,Eggs,75.0
2025-04-13,Onions,2.5
2025-04-13,Beef Steak,0.9
2025-04-14,Rice (Bomba),54.237
2025-04-14,Seafood Mix,92.3
2025-04-14,Olive Oil,21.3
2025-04-14,Sangria Mix,100.0
2025-04-14,Wine Bottle (Red),16.95
2025-04-14,Beer Keg (30L),29.4
2025-04-14,Coffee Beans,1.6968
2025-04-14,Chicken,7.272
2025-04-14,Potatoes,15.251
2025-04-14,Lettuce,2.4
2025-04-14,Eggs,51.0
2025-04-14,Onions,1.7
2025-04-15,Rice (Bomba),54.0855
2025-04-15,Seafood Mix,92.45
2025-04-15,Olive Oil,21.85
2025-04-15,Wine Bottle (Red),14.85
2025-04-15,Coffee Beans,1.6059
2025-04-15,Beer Keg (30L),34.2
2025-04-15,Sangria Mix,86.0
2025-04-15,Chicken,8.282
2025-04-15,Potatoes,16.867
2025-04-15,Lettuce,2.2
2025-04-15,Eggs,87.0
2025-04-15,Onions,2.9
2025-04-16,Wine Bottle (Red),13.2
2025-04-16,Coffee Beans,1.4998
2025-04-16,Rice (Bomba),59.2365
2025-04-16,Seafood Mix,101.75
2025-04-16,Olive Oil,22.9
2025-04-16,Sangria Mix,101.0
2025-04-16,Beer Keg (30L),32.7
2025-04-16,Chicken,8.383
2025-04-16,Potatoes,12.827
2025-04-16,Lettuce,2.1
2025-04-16,Beef Steak,1.2
2025-04-16,Eggs,42.0
2025-04-16,Onions,1.4
2025-04-17,Coffee Beans,0.7424
2025-04-17,Sangria Mix,60.0
2025-04-17,Wine Bottle (Red),9.45
2025-04-17,Rice (Bomba),30.4515
2025-04-17,Seafood Mix,52.25
2025-04-17,Olive Oil,12.2
2025-04-17,Beer Keg (30L),18.9
2025-04-17,Chicken,6.666
2025-04-17,Potatoes,11.009
2025-04-17,Lettuce,2.2
2025-04-17,Eggs,48.0
2025-04-17,Onions,1.6
2025-04-17,Beef Steak,1.8
2025-04-18,Rice (Bomba),39.39
2025-04-18,Seafood Mix,67.2
2025-04-18,Olive Oil,15.2
2025-04-18,Beer Keg (30L),22.2
2025-04-18,Coffee Beans,1.0151
2025-04-18,Sangria Mix,53.0
2025-04-18,Wine Bottle (Red),9.3
2025-04-18,Chicken,7.171
2025-04-18,Potatoes,10.908
2025-04-18,Lettuce,2.1
2025-04-18,Beef Steak,1.2
2025-04-18,Eggs,36.0
2025-04-18,Onions,1.2
2025-04-19,Wine Bottle (Red),18.15
2025-04-19,Rice (Bomba),64.0845
2025-04-19,Seafood Mix,107.95
2025-04-19,Olive Oil,24.0
2025-04-19,Beer Keg (30L),44.4
2025-04-19,Sangria Mix,112.0
2025-04-19,Coffee Beans,1.5604
2025-04-19,Chicken,9.09
2025-04-19,Potatoes,14.847
2025-04-19,Lettuce,2.6
2025-04-19,Eggs,60.0
2025-04-19,Onions,2.0
2025-04-19,Beef Steak,0.6
2025-04-20,Beer Keg (30L),36.3
2025-04-20,Sangria Mix,88.0
2025-04-20,Rice (Bomba),62.418
2025-04-20,Seafood Mix,107.2
2025-04-20,Olive Oil,24.4
2025-04-20,Coffee Beans,1.6513
2025-04-20,Wine Bottle (Red),16.8
2025-04-20,Chicken,8.686
2025-04-20,Potatoes,14.746
2025-04-20,Lettuce,2.2
2025-04-20,Eggs,60.0
2025-04-20,Onions,2.0
2025-04-20,Beef Steak,1.5
2025-04-21,Wine Bottle (Red),9.9
2025-04-21,Sangria Mix,49.0
2025-04-21,Rice (Bomba),39.5415
2025-04-21,Seafood Mix,68.05
2025-04-21,Olive Oil,16.2
2025-04-21,Coffee Beans,0.8939
2025-04-21,Beer Keg (30L),17.7
2025-04-21,Potatoes,11.615
2025-04-21,Eggs,48.0
2025-04-21,Onions,1.6
2025-04-21,Beef Steak,0.6
2025-04-21,Chicken,3.333
2025-04-21,Lettuce,1.1
2025-04-22,Coffee Beans,1.6362
2025-04-22,Beer Keg (30L),34.5
2025-04-22,Rice (Bomba),66.963
2025-04-22,Seafood Mix,116.3
2025-04-22,Olive Oil,27.0
2025-04-22,Sangria Mix,103.0
2025-04-22,Wine Bottle (Red),15.9
2025-04-22,Chicken,8.484
2025-04-22,Potatoes,16.968
2025-04-22,Lettuce,2.4
2025-04-22,Eggs,60.0
2025-04-22,Onions,2.0
2025-04-22,Beef Steak,2.1
2025-04-23,Beer Keg (30L),67.8
2025-04-23,Wine Bottle (Red),26.55
2025-04-23,Rice (Bomba),110.292
2025-04-23,Seafood Mix,185.0
2025-04-23,Olive Oil,40.1
2025-04-23,Coffee Beans,2.8179
2025-04-23,Sangria Mix,178.0
2025-04-23,Chicken,11.817
2025-04-23,Potatoes,18.887
2025-04-23,Lettuce,3.9
2025-04-23,Eggs,69.0
2025-04-23,Onions,2.3
2025-04-24,Rice (Bomba),52.116
2025-04-24,Seafood Mix,88.8
2025-04-24,Olive Oil,19.9
2025-04-24,Wine Bottle (Red),12.9
2025-04-24,Sangria Mix,91.0
2025-04-24,Beer Keg (30L),31.8
2025-04-24,Coffee Beans,1.4998
2025-04-24,Chicken,5.555
2025-04-24,Potatoes,10.1
2025-04-24,Lettuce,1.3
2025-04-24,Eggs,36.0
2025-04-24,Onions,1.2
2025-04-25,Coffee Beans,1.3938
2025-04-25,Rice (Bomba),64.539
2025-04-25,Seafood Mix,109.7
2025-04-25,Olive Oil,24.8
2025-04-25,Beer Keg (30L),41.1
2025-04-25,Wine Bottle (Red),16.2
2025-04-25,Sangria Mix,117.0
2025-04-25,Chicken,10.1
2025-04-25,Potatoes,16.261
2025-04-25,Lettuce,2.8
2025-04-25,Eggs,63.0
2025-04-25,Onions,2.1
2025-04-25,Beef Steak,0.6
2025-04-26,Rice (Bomba),56.358
2025-04-26,Seafood Mix,95.6
2025-04-26,Olive Oil,21.8
2025-04-26,Wine Bottle (Red),16.95
2025-04-26,Beer Keg (30L),37.2
2025-04-26,Sangria Mix,94.0
2025-04-26,Coffee Beans,1.3332
2025-04-26,Chicken,10.605
2025-04-26,Potatoes,16.362
2025-04-26,Lettuce,2.7
2025-04-26,Beef Steak,0.3
2025-04-26,Eggs,60.0
2025-04-26,Onions,2.0
2025-04-27,Rice (Bomba),63.7815
2025-04-27,Seafood Mix,109.25
2025-04-27,Olive Oil,24.9
2025-04-27,Coffee Beans,1.4998
2025-04-27,Beer Keg (30L),34.8
2025-04-27,Wine Bottle (Red),14.85
2025-04-27,Sangria Mix,90.0
2025-04-27,Chicken,10.1
2025-04-27,Potatoes,16.362
2025-04-27,Lettuce,2.8
2025-04-27,Beef Steak,0.9
2025-04-27,Eggs,57.0
2025-04-27,Onions,1.9
2025-04-28,Rice (Bomba),34.6935
2025-04-28,Seafood Mix,59.65
2025-04-28,Olive Oil,13.65
2025-04-28,Beer Keg (30L),21.0
2025-04-28,Sangria Mix,57.0
2025-04-28,Wine Bottle (Red),9.75
2025-04-28,Coffee Beans,0.8636
2025-04-28,Chicken,4.141
2025-04-28,Potatoes,7.373
2025-04-28,Lettuce,1.1
2025-04-28,Eggs,39.0
2025-04-28,Onions,1.3
2025-04-29,Rice (Bomba),54.54
2025-04-29,Seafood Mix,91.8
2025-04-29,Olive Oil,20.4
2025-04-29,Sangria Mix,95.0
